"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U$5","FIDUCIAL_1MM","93.8022mm","36.9062mm","93.8022mm","36.9062mm","93.8022mm","36.9062mm","T","0.00",""
"U$1","FIDUCIAL_1MM","0mm","0mm","0mm","0mm","0mm","0mm","T","0.00",""
"FID2","FIDUCIAL-1X2","-0.8128mm","37.7952mm","-0.8128mm","37.7952mm","-0.8128mm","37.7952mm","T","0.00",""
"FID1","FIDUCIAL-1X2","94.0054mm","-0.1016mm","94.0054mm","-0.1016mm","94.0054mm","-0.1016mm","T","0.00",""
"IC2","QFN-10","76.5992mm","4.7062mm","76.6064mm","4.699mm","75.8444mm","3.799mm","T","90.00",""
"LED32","CHIPLED_1206","23.2918mm","11.9901mm","23.2918mm","11.9888mm","23.2918mm","10.2388mm","T","0.00",""
"LED31","CHIPLED_1206","67.31mm","11.5049mm","67.31mm","11.5062mm","67.31mm","13.2562mm","T","180.00",""
"C3","C0805","81.6102mm","24.8988mm","81.6102mm","24.892mm","81.6102mm","24.042mm","T","90.00",""
"C1","C0805","12.5984mm","26.7902mm","12.5984mm","26.797mm","12.5984mm","27.647mm","T","270.00",""
"R6","0805","75.2928mm","16.002mm","75.2856mm","16.002mm","74.3856mm","16.002mm","T","0.00",""
"R5","0805","81.6792mm","29.0068mm","81.6864mm","29.0068mm","82.5864mm","29.0068mm","T","180.00",""
"R3","0805","18.103mm","32.7914mm","18.1102mm","32.7914mm","19.0102mm","32.7914mm","T","180.00",""
"U$4","TSSOP24","72.7932mm","24.103mm","72.7964mm","24.1046mm","76.3714mm","27.0224mm","T","180.00",""
"U$3","TSSOP24","17.6054mm","24.8936mm","17.6022mm","24.892mm","14.0272mm","21.9742mm","T","0.00",""
"R4","0805","77.0962mm","17.6022mm","77.089mm","17.6022mm","76.189mm","17.6022mm","T","0.00",""
"R2","0805","92.3108mm","26.8986mm","92.3036mm","26.8986mm","91.4036mm","26.8986mm","T","0.00",""
"R1","0805","9.594mm","37.592mm","9.6012mm","37.592mm","10.5012mm","37.592mm","T","180.00",""
"LED28","LED5MM","27.5082mm","30.099mm","27.5082mm","30.099mm","26.2382mm","30.099mm","T","0.00",""
"SW4","EVQ-Q2","86.7936mm","10.6967mm","86.7918mm","10.6934mm","83.3918mm","8.6934mm","T","0.00",""
"SW3","EVQ-Q2","78.2084mm","32.8963mm","78.2066mm","32.893mm","74.8066mm","30.893mm","T","0.00",""
"SW2","EVQ-Q2","13.5857mm","10.5936mm","13.589mm","10.5918mm","15.589mm","7.1918mm","T","90.00",""
"SW1","EVQ-Q2","4.4991mm","10.6916mm","4.4958mm","10.6934mm","2.4958mm","14.0934mm","T","270.00",""
"IC1","SO16","5.6896mm","24.9936mm","5.6896mm","24.9936mm","2.6162mm","29.4386mm","T","270.00",""
"T1","SOT23","91.99mm","32.1132mm","91.9988mm","32.1056mm","93.0988mm","31.1556mm","T","90.00",""
"R30","0805","92.4124mm","29.21mm","92.4052mm","29.21mm","91.5052mm","29.21mm","T","0.00",""
"C2","E3,5-8","3.4036mm","34.798mm","3.4036mm","34.798mm","5.1816mm","34.798mm","T","0.00",""
"C6","E3,5-8","72.9996mm","10.795mm","72.9996mm","10.795mm","72.9996mm","9.017mm","T","270.00",""
"LED30","CHIPLED_1206","13.4861mm","4.0894mm","13.4874mm","4.0894mm","15.2374mm","4.0894mm","T","90.00",""
"LED29","CHIPLED_1206","4.3929mm","4.191mm","4.3942mm","4.191mm","6.1442mm","4.191mm","T","90.00",""
"R55","0805","13.4802mm","1.8034mm","13.4874mm","1.8034mm","14.3874mm","1.8034mm","T","180.00",""
"R52","0805","4.2854mm","1.8034mm","4.2926mm","1.8034mm","5.1926mm","1.8034mm","T","180.00",""
"R51","0805","79.4948mm","12.7mm","79.502mm","12.7mm","80.402mm","12.7mm","T","180.00",""
"JP1","2X20","45.1104mm","4.8006mm","45.1104mm","4.8006mm","69.2404mm","6.0706mm","T","180.00",""
"SG1","BUZZER-12MM","88.291mm","20.4978mm","88.2904mm","20.4978mm","85.0404mm","20.4978mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","36.3093mm","36.5125mm","29.9974mm","33.401mm","41.402mm","38.0238mm","T","0.00",""
"R39","0805","82.0238mm","6.985mm","82.0166mm","6.985mm","81.1166mm","6.985mm","T","0.00",""
"R38","0805","86.487mm","34.0542mm","86.487mm","34.0614mm","86.487mm","34.9614mm","T","270.00",""
"R37","0805","8.9734mm","2.8702mm","8.9662mm","2.8702mm","8.0662mm","2.8702mm","T","0.00",""
"R36","0805","9.1186mm","6.9016mm","9.1186mm","6.9088mm","9.1186mm","7.8088mm","T","270.00",""
"R33","0805","90.8304mm","5.5444mm","90.8304mm","5.5372mm","90.8304mm","4.6372mm","T","90.00",""
"R32","0805","82.0746mm","4.9276mm","82.0674mm","4.9276mm","81.1674mm","4.9276mm","T","0.00",""
"SV1","FE05-1","15.5194mm","34.9758mm","15.5194mm","34.9758mm","10.4394mm","34.9758mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","86.7466mm","4.8126mm","86.741mm","4.8006mm","87.4522mm","3.3006mm","T","0.00",""
"LED1","LED5MM","63.5mm","11.9888mm","63.5mm","11.9888mm","62.23mm","11.9888mm","T","0.00",""
"LED27","LED5MM","33.5026mm","30.099mm","33.5026mm","30.099mm","32.2326mm","30.099mm","T","0.00",""
"LED26","LED5MM","39.497mm","30.099mm","39.497mm","30.099mm","38.227mm","30.099mm","T","0.00",""
"LED25","LED5MM","45.4914mm","30.099mm","45.4914mm","30.099mm","44.2214mm","30.099mm","T","0.00",""
"LED24","LED5MM","51.4858mm","30.099mm","51.4858mm","30.099mm","50.2158mm","30.099mm","T","0.00",""
"LED23","LED5MM","57.5056mm","30.099mm","57.5056mm","30.099mm","56.2356mm","30.099mm","T","0.00",""
"LED22","LED5MM","63.5mm","30.099mm","63.5mm","30.099mm","62.23mm","30.099mm","T","0.00",""
"LED21","LED5MM","27.5082mm","24.1046mm","27.5082mm","24.1046mm","26.2382mm","24.1046mm","T","0.00",""
"LED20","LED5MM","33.5026mm","24.1046mm","33.5026mm","24.1046mm","32.2326mm","24.1046mm","T","0.00",""
"LED19","LED5MM","39.497mm","24.1046mm","39.497mm","24.1046mm","38.227mm","24.1046mm","T","0.00",""
"LED18","LED5MM","45.4914mm","24.1046mm","45.4914mm","24.1046mm","44.2214mm","24.1046mm","T","0.00",""
"LED17","LED5MM","51.4858mm","24.1046mm","51.4858mm","24.1046mm","50.2158mm","24.1046mm","T","0.00",""
"LED16","LED5MM","57.5056mm","24.1046mm","57.5056mm","24.1046mm","56.2356mm","24.1046mm","T","0.00",""
"LED15","LED5MM","63.5mm","24.1046mm","63.5mm","24.1046mm","62.23mm","24.1046mm","T","0.00",""
"LED14","LED5MM","27.5082mm","18.1102mm","27.5082mm","18.1102mm","26.2382mm","18.1102mm","T","0.00",""
"LED13","LED5MM","33.5026mm","18.1102mm","33.5026mm","18.1102mm","32.2326mm","18.1102mm","T","0.00",""
"LED12","LED5MM","39.497mm","18.1102mm","39.497mm","18.1102mm","38.227mm","18.1102mm","T","0.00",""
"LED11","LED5MM","45.4914mm","18.1102mm","45.4914mm","18.1102mm","44.2214mm","18.1102mm","T","0.00",""
"LED10","LED5MM","51.4858mm","18.1102mm","51.4858mm","18.1102mm","50.2158mm","18.1102mm","T","0.00",""
"LED9","LED5MM","57.5056mm","18.1102mm","57.5056mm","18.1102mm","56.2356mm","18.1102mm","T","0.00",""
"LED8","LED5MM","63.5mm","18.1102mm","63.5mm","18.1102mm","62.23mm","18.1102mm","T","0.00",""
"LED7","LED5MM","27.5082mm","12.0904mm","27.5082mm","12.0904mm","26.2382mm","12.0904mm","T","0.00",""
"LED6","LED5MM","33.5026mm","12.0904mm","33.5026mm","12.0904mm","32.2326mm","12.0904mm","T","0.00",""
"LED5","LED5MM","39.497mm","12.0904mm","39.497mm","12.0904mm","38.227mm","12.0904mm","T","0.00",""
"LED4","LED5MM","45.4914mm","12.0904mm","45.4914mm","12.0904mm","44.2214mm","12.0904mm","T","0.00",""
"LED3","LED5MM","51.4858mm","12.0904mm","51.4858mm","12.0904mm","50.2158mm","12.0904mm","T","0.00",""
"LED2","LED5MM","57.5056mm","12.0904mm","57.5056mm","12.0904mm","56.2356mm","12.0904mm","T","0.00",""

